"english", "bosnian"
"act, acted", "glumiti"
"add, added", "dodati"
"aid, aided", "pomoći"
"arrest, arrested", "uhapsiti"
"assist, assisted", "asistirati"
"attend, attended", "prisustvovati"
"address, addressed", "obratiti se"
"advertise, advertised", "reklamirati"
"amuse, amused", "zabavljati"
"approach, approached", "pristupiti"
"ask, asked", "pitati"
"accompany, accompanied", "pratiti"
"accustom, accustom", "naviknuti se"
"agree, agreed", "složiti se"
"annoy, annoyed", "nervirati"
"answer, answered", "odgovoriti"
"appeal, appealed", "žaliti se"
"appear, appeared", "pojaviti se"
"arrange, arranged", "organizirati"
"arrive, arrived", "stići"
"board, boarded", "ukrcati se"
"balance, balanced", "balansirati"
"banish, banished", "protjerati, izgnati"
"bark, barked", "lajati"
"bless, blessed", "blagosloviti"
"brush, brushed", "četkati"
"behave, behaved", "ponašati se"
"belong, belonged", "pripadati"
"beg, begged", "moliti"
"believe, believed", "vjerovati"
"boil, boiled", "kuhati, vriti"
"breathe, breathed", "disati"
"boost, boosted", "pojačati"
"call, called", "zvati"
"care, cared", "brinuti se"
"carry, carried", "nositi"
"choke, choked", "gušiti"
"change, changed", "promijeniti"
"check, checked", "provjeriti"
"charge, charged", "naplatiti"
"clean, cleaned", "čistiti"
"climb, climbed", "penjati se"
"comb, combed", "za češljanje"
"complete, completed", "dovršiti"
"consist, consisted", "sastojati"
"count, counted", "brojati"
"cover, covered", "pokriti"
"close, closed", "zatvoriti"
"cook, cooked", "kuhati"
"crash, crashed", "sudariti se"
"craw, crawl", "puzati"
"cross, crossed", "prijeći"
"cry, cried", "plakati"
"cool, cooled", "da se ohladi"
"dance, danced", "plesati"
"dare, dared", "odvažiti se"
"declare, declared", "prijaviti"
"delay, delayed", "odgoditi"
"deliver, delivered", "dostaviti"
"deny, denied", "poreći"
"dial, dialled", "nazvati"
"die, died", "umrijeti"
"dine, dined", "večerati"
"drag, dragged", "vući"
"dress, dressed", "obući se"
"drop, dropped", "ispustiti"
"dry, dried", "osušiti"
"enclose, enclosed", "ograditi"
"enjoy, enjoyed", "uživati"
"engage, engaged", "angažirati"
"envy, envied", "zavidjeti"
"ease, eased", "olakšati"
"erase, erased", "Izbrisati"
"exchange, exchanged", "razmijeniti"
"express, expressed", "izraziti"
"exclaim, exclaimed", "uzviknuti"
"explain, explained", "objasniti"
"fail, failed", "ne uspjeti"
"fasten, fastened", "pričvrstiti"
"file, filed", "ubilježiti"
"fill, filled", "ispuniti"
"fish, fished", "pecati"
"finish, finished", "završiti"
"fire, fired", "zapaliti"
"fix, fixed", "popraviti"
"follow, followed", "pratiti"
"frighten, frightened", "uplašiti"
"fry, fried", "pržiti"
"gain, gained", "dobiti"
