"english", "bosnian"
"act", "glumiti"
"add", "dodati"
"aid", "pomoći"
"arrest", "uhapsiti"
"assist", "asistirati"
"attend", "prisustvovati"
"address", "obratiti se"
"advertise", "reklamirati"
"amuse", "zabavljati"
"approach", "pristupiti"
"ask", "pitati"
"accompany", "pratiti"
"accustom", "naviknuti se"
"agree", "složiti se"
"annoy", "nervirati"
"answer", "odgovoriti"
"appeal", "žaliti se"
"appear", "pojaviti se"
"arrange", "organizirati"
"arrive", "stići"
"board", "ukrcati se"
"balance", "balansirati"
"banish", "protjerati, izgnati"
"bark", "lajati"
"bless", "blagosloviti"
"brush", "četkati"
"behave", "ponašati se"
"belong", "pripadati"
"beg", "moliti"
"believe", "vjerovati"
"boil", "kuhati, vriti"
"breathe", "disati"
"boost", "pojačati"
"call", "zvati"
"care", "brinuti se"
"carry", "nositi"
"choke", "gušiti"
"change", "promijeniti"
"check", "provjeriti"
"charge", "naplatiti"
"clean", "čistiti"
"climb", "penjati se"
"comb", "za češljanje"
"complete", "dovršiti"
"consist", "sastojati"
"count", "brojati"
"cover", "pokriti"
"close", "zatvoriti"
"cook", "kuhati"
"crash", "sudariti se"
"craw", "puzati"
"cross", "prijeći"
"cry", "plakati"
"cool", "da se ohladi"
"dance", "plesati"
"dare", "odvažiti se"
"declare", "prijaviti"
"delay", "odgoditi"
"deliver", "dostaviti"
"deny", "poreći"
"dial", "nazvati"
"die", "umrijeti"
"dine", "večerati"
"drag", "vući"
"dress", "obući se"
"drop", "ispustiti"
"dry", "osušiti"
"enclose", "ograditi"
"enjoy", "uživati"
"engage", "angažirati"
"envy", "zavidjeti"
"ease", "olakšati"
"erase", "Izbrisati"
"exchange", "razmijeniti"
"express", "izraziti"
"exclaim", "uzviknuti"
"explain", "objasniti"
"fail", "ne uspjeti"
"fasten", "pričvrstiti"
"file", "ubilježiti"
"fill", "ispuniti"
"fish", "pecati"
"finish", "završiti"
"fire", "zapaliti"
"fix", "popraviti"
"follow", "pratiti"
"frighten", "uplašiti"
"fry", "pržiti"
"gain", "dobiti"
"guess", "pogoditi"
"happen", "dogoditi se"
"help", "pomoći"
"hunt", "loviti"
"hurry", "žuriti se"
"imagine", "zamisliti"
"iron", "glačati, peglati"
"judge", "suditi"
"kiss", "poljubiti"
"kill", "ubiti"
"laugh", "smijati se"
"leak", "curiti"
"like", "voljeti"
"lock", "zaključati"
"look", "pogledati"
"love", "voljeti"
"mark", "označiti"
"milk", "musti"
"miss", "nedostajati"
"manage", "upravljati"
"marry", "oženiti"
"massage", "amsirati"
"measure", "mjeriti"
"move", "kretati se"
"observe", "promatrati"
"offer", "ponuditi"
"open", "otvoriti"
"order", "naručiti"
"park", "parkirati"
"pass", "proći"
"perform", "izvoditi"
"phone", "telefonirati"
"pick", "pokupiti"
"plan", "planirati"
"play", "igrati"
"please", "zadovoljiti"
"plough", "orati"
"polish", "polirati"
"pour", "sipati"
"practice", "vježbati"
"pray", "moliti"
"prefer", "preferirati"
"promise", "obećavati"
"pronounce", "izgovoriti"
"pull", "povući"
"punish", "kazniti"
"push", "gurati"
"repeat", "ponoviti"
"report", "prijaviti"
"request", "zatražiti"
"rest", "odmoriti"
"reach", "dosegnuti"
"refuse", "odbiti"
"raise", "podići"
"rain", "kišiti"
"realize", "shvatiti"
"register", "registrirati se"
"receive", "primiti"
"remain", "ostati"
"remember", "zapamtiti"
"repair", "popraviti"
"require", "zahtijevati"
"reserve", "rezervirati"
"row", "veslati"
"resolve", "riješiti"
"return", "vratiti"
"save", "spremiti"
"search", "tražiti"
"serve", "služi"
"settle", "za podmirenje"
"sign", "potpisati"
"slap", "ošamariti"
"slip", "poskliznuti se"
"smile", "nasmiješiti"
"smoke", "pušiti"
"snow", "snježiti"
"split", "razdvojiti, rastaviti, podijeliti"
"stage", "izvesti, posatviti na sceni"
"stay", "ostati"
"stretch", "rastegnuti"
"stop", "zaustaviti"
"study", "učiti"
"suffer", "trpjeti"
"swallow", "progutati"
"switch", "zamijeniti"
"tackle", "oboriti"
"talk", "pričati"
"thank", "zahvaliti"
"tire", "zamoriti se"
"touch", "dodirnuti"
"trap", "zarobiti"
"train", "trenirati"
"travel", "putovati"
"trouble", "u nevolji"
"try", "pokušati"
"turn", "okrenuti"
"use", "koristiti"
"unpack", "raspakirati"
"visit", "posjetiti"
"wait", "čekati"
"walk", "hodati"
"wash", "oprati"
"watch", "gledati"
"warm", "zagrijati"
"warn", "upozoriti"
"water", "zalijevati"
"weigh", "težiti"
"wish", "poželjeti"
"work", "raditi"
"wreck", "razrušiti"
